Time,Data
20030202,13.4
20030203,14.1
20030204,13.8
20030205,13.6
20030206,13.7
20030207,13.4
20030208,13.4
20030209,13.2
20030210,13.0
20030211,12.9
20030212,13.4
20030213,13.6
20030214,13.7
20030215,13.6
20030216,14.0
20030217,14.0
20030218,13.6
20030219,13.9
20030220,13.5
20030221,13.6
20030222,13.4
20030223,13.9
20030224,14.1
20030225,13.5
20030226,13.5
20030227,13.7
20030228,13.8
20030301,13.8
20030302,14.1
20030303,13.9
20030304,13.9
20030305,13.5
20030306,13.4
20030307,13.3
20030308,13.6
20030309,13.7
20030310,13.8
20030311,13.5
20030312,13.6
20030313,13.4
20030314,13.4
20030315,13.1
20030316,13.2
20030317,13.3
20030318,13.4
20030319,13.7
20030320,13.9
20030321,13.8
20030322,13.2
20030323,13.5
20030324,13.6
20030325,13.3
20030326,13.5
20030327,13.1
20030328,13.4
20030329,13.7
20030330,13.9
20030331,14.0
20030401,13.7
20030402,13.6
20030403,13.5
20030404,13.7
20030405,13.6
20030406,13.1
20030407,14.0
20030408,13.8
20030409,13.9
20030410,13.8
20030411,13.4
20030412,13.5
20030413,13.6
20030414,13.4
20030415,13.9
20030416,13.5
20030417,13.6
20030418,13.5
20030419,13.5
20030420,13.7
20030421,13.6
20030422,13.5
20030423,13.8
20030424,13.8
20030425,14.0
20030426,13.8
20030427,13.9
20030428,13.9
20030429,14.1
20030430,14.2
20030501,13.8
20030502,13.8
20030503,14.0
20030504,13.6
20030505,14.2
20030506,14.0
20030507,13.7
20030508,13.6
20030509,13.5
20030510,13.6
20030511,14.2
20030512,13.8
20030513,13.8
20030514,14.1
20030515,13.9
20030516,13.8
20030517,13.6
20030518,13.8
20030519,13.3
20030520,13.3
20030521,13.7
20030522,14.0
20030523,13.6
20030524,14.0
20030525,13.9
20030526,13.7
20030527,14.0
20030528,14.4
20030529,14.2
20030530,14.1
20030531,14.1
20030601,14.2
20030602,13.9
20030603,13.9
20030604,13.6
20030605,13.6
20030606,14.4
20030607,13.9
20030608,14.2
20030609,14.0
20030610,14.2
20030611,14.1
20030612,14.3
20030613,14.4
20030614,14.3
20030615,13.8
20030616,14.0
20030617,13.5
20030618,14.1
20030619,14.8
20030620,14.0
20030621,14.6
20030622,14.0
20030623,14.6
20030624,14.5
20030625,14.6
20030626,13.8
20030627,14.3
20030628,14.1
20030629,14.4
20030630,14.3
20030701,14.1
20030702,14.6
20030703,14.5
20030704,14.0
20030705,14.1
20030706,14.4
20030707,14.1
20030708,13.9
20030709,14.9
20030710,14.4
20030711,14.3
20030712,14.8
20030713,14.3
20030714,14.3
20030715,14.1
20030716,14.2
20030717,14.6
20030718,14.5
20030719,13.8
20030720,14.1
20030721,13.9
20030722,14.5
20030723,14.4
20030724,14.7
20030725,14.4
20030726,14.3
20030727,15.1
20030728,15.2
20030729,14.9
20030730,14.7
20030731,15.1
20030801,15.2
20030802,14.5
20030803,14.5
20030804,15.1
20030805,15.9
20030806,15.3
20030807,15.2
20030808,14.5
20030809,13.4
20030810,15.0
20030811,15.4
20030812,14.9
20030813,15.2
20030814,15.1
20030815,15.3
20030816,15.2
20030817,15.5
20030818,14.7
20030819,15.5
20030820,15.8
20030821,15.0
20030822,15.2
20030823,15.1
20030824,15.3
20030825,15.2
20030826,14.8
20030827,15.1
20030828,15.7
20030829,14.9
20030830,14.4
20030831,15.4
20030901,15.5
20030902,15.4
20030903,15.6
20030904,15.5
20030905,15.4
20030906,15.7
20030907,15.3
20030908,15.0
20030909,16.2
20030910,15.3
20030911,15.0
20030912,15.1
20030913,15.6
20030914,15.2
20030915,15.5
20030916,15.7
20030917,15.4
20030918,14.9
20030919,14.6
20030920,15.0
20030921,14.4
20030922,15.4
20030923,15.2
20030924,14.9
20030925,15.4
20030926,14.9
20030927,15.2
20030928,15.2
20030929,14.9
20030930,15.3
20031001,14.7
20031002,14.3
20031003,14.2
20031004,14.4
20031005,14.3
20031006,14.1
20031007,14.1
20031008,14.3
20031009,14.3
20031010,14.0
20031011,14.7
20031012,14.4
20031013,14.5
20031014,14.3
20031015,13.9
20031016,14.3
20031017,14.0
20031018,14.5
20031019,14.2
20031020,14.1
20031021,14.1
20031022,14.2
20031023,14.5
20031024,13.9
20031025,13.9
20031026,14.1
20031027,13.7
20031028,13.7
20031029,13.8
20031030,13.8
20031031,14.2
20031101,14.0
20031102,13.8
20031103,14.1
20031104,14.1
20031105,14.5
20031106,13.8
20031107,14.1
20031108,14.0
20031109,13.2
20031110,13.5
20031111,13.9
20031112,13.7
20031113,13.5
20031114,13.2
20031115,13.6
20031116,13.6
20031117,13.3
20031118,13.4
20031119,13.1
20031120,13.4
20031121,13.0
20031122,13.3
20031123,13.9
20031124,13.9
20031125,13.2
20031126,13.7
20031127,13.6
20031128,13.6
20031129,13.9
20031130,13.3
20031201,13.1
20031202,13.4
20031203,13.5
20031204,13.0
20031205,13.4
20031206,13.0
20031207,13.1
20031208,12.9
20031209,13.4
20031210,13.1
20031211,13.5
20031212,13.6
20031213,13.6
20031214,13.9
20031215,13.2
20031216,13.0
20031217,13.5
20031218,13.7
20031219,13.5
20031220,13.4
20031221,13.5
20031222,13.1
20031223,13.1
20031224,13.1
20031225,13.4
20031226,13.1
20031227,13.2
20031228,13.2
20031229,12.9
20031230,13.3
20031231,13.5
20050101,13.2
20050102,13.4
20050103,13.5
20050104,12.9
20050105,13.0
20050106,13.0
20050107,13.1
20050108,13.5
20050109,12.9
20050110,13.2
20050111,13.3
